13.794,24.209
0.754,2.288
2.789,13.302
3.995,8.04
8.819,14.03
5.126,18.783
10.628,21.412
1.131,-0.56
14.774,30.955
8.065,17.065
11.683,24.156
3.392,5.61
1.658,7.314
8.894,16.49
3.769,5.798
14.322,27.785
6.633,14.579
5.879,10.018
13.191,24.993
6.558,13.879
7.538,22.028
3.241,7.562
10.101,23.853
4.447,15.7
10.779,20.282
5.955,9.152
12.965,26.637
14.698,30.241
3.844,6.398
9.347,21.276
13.342,23.815
9.196,18.438
7.915,19.283
5.804,11.096
1.432,3.405
2.035,14.22
0.151,10.659
8.291,14.871
7.688,20.728
2.186,15.989
10.176,24.868
10.402,22.365
12.06,25.83
2.412,17.022
7.839,19.559
7.01,19.08
9.271,20.712
0.98,-0.306
4.523,16.678
13.266,23.843
7.462,22.25
12.136,27.249
14.095,25.906
7.161,21.4
7.387,21.884
4.221,13.414
2.714,14.956
1.281,1.022
6.106,9.865
12.739,27.473
6.332,11.051
9.497,22.277
13.719,24.02
13.643,24.286
14.397,28.466
9.121,17.837
12.814,26.879
6.256,9.736
12.362,26.522
8.593,14.428
13.568,24.31
3.467,5.16
1.055,0.76
13.945,25.993
3.09,8.805
6.03,9.251
10.854,19.482
0.528,4.692
13.492,23.82
15.0,30.402
3.015,9.845
9.573,23.897
0.452,5.701
5.729,11.681
12.437,27.394
2.94,11.321
7.99,18.15
4.824,18.771
1.734,9.41
11.382,19.877
0.905,0.744
2.111,14.865
11.307,19.548
3.92,7.47
12.663,28.245
11.759,23.923
0.678,2.939
5.05,19.687
7.613,21.49
9.648,23.78
11.91,24.514
1.884,11.917
5.352,15.977
8.518,14.006
0.0,12.317
11.533,21.361
1.357,2.292
0.075,12.413
8.367,14.355
10.025,24.236
14.925,30.173
14.548,29.858
11.231,19.51
9.045,16.575
13.04,25.762
9.874,24.637
2.487,17.445
1.809,10.282
10.553,21.394
8.97,16.682
2.261,16.488
3.166,7.607
4.975,19.23
2.337,16.46
12.889,25.99
14.472,28.546
1.583,5.424
11.08,18.826
12.513,27.303
2.638,14.862
13.417,23.709
5.201,17.569
6.935,19.075
1.96,12.956
5.503,14.019
0.377,8.255
3.543,4.637
6.181,9.754
4.372,14.957
4.07,8.831
3.317,6.217
11.457,20.564
8.216,14.019
0.603,4.395
9.799,24.092
13.869,25.153
7.312,21.5
7.236,21.579
8.141,16.87
10.704,19.925
0.226,10.151
14.849,30.255
10.477,22.709
6.407,12.141
1.508,5.323
5.578,13.206
4.673,18.764
4.598,18.366
11.834,24.587
6.784,16.355
4.146,11.337
6.482,12.233
12.588,27.097
0.829,1.16
12.211,27.07
10.327,23.636
1.206,0.772
8.744,14.597
9.724,24.35
3.618,4.598
7.085,20.395
9.422,22.501
10.251,23.932
9.95,24.7
5.427,14.795
5.276,16.529
11.005,19.013
11.608,21.375
3.693,5.508
14.02,25.45
14.171,26.976
6.709,16.128
7.764,20.492
13.116,24.534
6.859,17.224
10.93,19.659
12.286,27.821
2.563,15.09
2.864,11.612
14.623,30.108
5.653,12.15
0.302,10.447
11.985,25.902
4.749,19.475
4.296,13.495
14.246,26.953
8.442,13.788
4.899,17.998
8.668,15.055
11.156,19.597
